date,product,stock,restock_threshold,restock_amount,price,category,shelf_life
2023-01-11,Product2,56,38,12,10.03115063,Category2,151
2023-01-11,Product3,87,24,0,49.68846237,Category3,244
2023-01-11,Product4,54,17,5,34.69926039,Category1,360
2023-01-11,Product5,90,30,0,34.46612642,Category2,117
2023-01-12,Product1,54,48,4,34.46612642,Category1,132
2023-01-12,Product2,61,38,5,10.03115063,Category2,151
2023-01-12,Product3,91,24,4,49.68846237,Category3,244
2023-01-12,Product4,60,17,6,34.69926039,Category1,360
2023-01-12,Product5,84,30,0,34.46612642,Category2,117
2023-01-13,Product1,48,48,0,34.46612642,Category1,132
2023-01-13,Product2,52,38,0,10.03115063,Category2,151
2023-01-13,Product3,96,24,5,49.68846237,Category3,244
2023-01-13,Product4,63,17,3,34.69926039,Category1,360
2023-01-13,Product5,91,30,7,34.46612642,Category2,117
2023-01-14,Product1,60,48,12,34.46612642,Category1,132
2023-01-14,Product2,51,38,0,10.03115063,Category2,151
2023-01-14,Product3,83,24,0,49.68846237,Category3,244
2023-01-14,Product4,56,17,0,34.69926039,Category1,360
2023-01-14,Product5,82,30,0,34.46612642,Category2,117
2023-01-15,Product1,54,48,0,34.46612642,Category1,132
2023-01-15,Product2,55,38,4,10.03115063,Category2,151
2023-01-15,Product3,92,24,9,49.68846237,Category3,244
2023-01-15,Product4,57,17,1,34.69926039,Category1,360
2023-01-15,Product5,94,30,12,34.46612642,Category2,117
2023-01-16,Product1,49,48,0,33.95798838,Category1,132
2023-01-16,Product2,47,38,0,10.03115063,Category2,151
2023-01-16,Product3,86,24,0,49.68846237,Category3,244
2023-01-16,Product4,51,17,0,34.69926039,Category1,360
2023-01-16,Product5,104,30,10,34.46612642,Category2,117
2023-01-17,Product1,50,48,1,34.46612642,Category1,132
2023-01-17,Product2,56,38,9,10.03115063,Category2,151
2023-01-17,Product3,86,24,0,49.68846237,Category3,244
2023-01-17,Product4,55,17,4,34.69926039,Category1,360
2023-01-17,Product5,79,30,0,34.46612642,Category2,117
2023-01-18,Product1,62,48,12,33.61796817,Category1,132
2023-01-18,Product2,55,38,0,10.03115063,Category2,151
2023-01-18,Product3,83,24,0,49.68846237,Category3,244
2023-01-18,Product4,53,17,0,34.69926039,Category1,360
2023-01-18,Product5,92,30,13,34.46612642,Category2,117
2023-01-19,Product1,56,48,0,33.93214702,Category1,132
2023-01-19,Product2,52,38,0,10.03115063,Category2,151
2023-01-19,Product3,96,24,13,49.68846237,Category3,244
2023-01-19,Product4,62,17,9,34.69926039,Category1,360
2023-01-19,Product5,77,30,0,34.46612642,Category2,117
2023-01-20,Product1,64,48,8,34.46612642,Category1,132
2023-01-20,Product2,47,38,0,10.03115063,Category2,151
2023-01-20,Product3,90,24,0,49.68846237,Category3,244
2023-01-20,Product4,50,17,0,34.69926039,Category1,360
2023-01-20,Product5,86,30,9,34.46612642,Category2,117
2023-01-21,Product1,56,48,0,34.46612642,Category1,132
2023-01-21,Product2,57,38,10,10.03115063,Category2,151
2023-01-21,Product3,95,24,5,49.68846237,Category3,244
2023-01-21,Product4,54,17,4,34.69926039,Category1,360
2023-01-21,Product5,87,30,1,34.46612642,Category2,117
2023-01-22,Product1,59,48,3,34.46612642,Category1,132
2023-01-22,Product2,54,38,0,10.03115063,Category2,151
2023-01-22,Product3,91,24,0,49.68846237,Category3,244
2023-01-22,Product4,51,17,0,34.69926039,Category1,360
2023-01-22,Product5,86,30,0,34.46612642,Category2,117
2023-01-23,Product1,62,48,3,34.46612642,Category1,132
2023-01-23,Product2,53,38,0,10.03115063,Category2,151
2023-01-23,Product3,91,24,0,49.68846237,Category3,244
2023-01-23,Product4,44,17,0,34.69926039,Category1,360
2023-01-23,Product5,91,30,5,34.46612642,Category2,117
2023-01-24,Product1,62,48,0,34.46612642,Category1,132
2023-01-24,Product2,51,38,0,10.03115063,Category2,151
2023-01-24,Product3,82,24,0,49.68846237,Category3,244
2023-01-24,Product4,50,17,6,34.69926039,Category1,360
2023-01-24,Product5,93,30,2,34.46612642,Category2,117
2023-01-25,Product1,49,48,0,34.46612642,Category1,132
2023-01-25,Product2,51,38,0,10.03115063,Category2,151
2023-01-25,Product3,89,24,7,49.68846237,Category3,244
2023-01-25,Product4,58,17,8,34.69926039,Category1,360
2023-01-25,Product5,88,30,0,34.46612642,Category2,117
2023-01-26,Product1,59,48,10,34.46612642,Category1,132
2023-01-26,Product2,54,38,3,10.03115063,Category2,151
2023-01-26,Product3,92,24,3,49.68846237,Category3,244
2023-01-26,Product4,54,17,0,34.69926039,Category1,360
2023-01-26,Product5,94,30,6,34.46612642,Category2,117
2023-01-27,Product1,63,48,4,34.46612642,Category1,132
2023-01-27,Product2,59,38,5,10.03115063,Category2,151
2023-01-27,Product3,84,24,0,49.68846237,Category3,244
2023-01-27,Product4,49,17,0,34.69926039,Category1,360
2023-01-27,Product5,74,30,0,34.46612642,Category2,117
2023-01-28,Product1,55,48,0,34.46612642,Category1,132
2023-01-28,Product2,43,38,0,10.03115063,Category2,151
2023-01-28,Product3,89,24,5,49.68846237,Category3,244
2023-01-28,Product4,61,17,12,34.69926039,Category1,360
2023-01-28,Product5,85,30,11,34.46612642,Category2,117
2023-01-29,Product1,54,48,0,34.46612642,Category1,132
2023-01-29,Product2,55,38,12,10.03115063,Category2,151
2023-01-29,Product3,101,24,12,49.68846237,Category3,244
2023-01-29,Product4,55,17,0,34.69926039,Category1,360
2023-01-29,Product5,91,30,6,34.46612642,Category2,117
2023-01-30,Product1,52,48,0,34.46612642,Category1,132
2023-01-30,Product2,54,38,0,10.03115063,Category2,151
2023-01-30,Product3,89,24,0,49.68846237,Category3,244
2023-01-30,Product4,45,17,0,34.69926039,Category1,360
2023-01-30,Product5,84,30,0,34.46612642,Category2,117
2023-01-31,Product1,67,48,15,34.46612642,Category1,132
2023-01-31,Product2,56,38,2,10.03115063,Category2,151
2023-01-31,Product3,89,24,0,49.68846237,Category3,244
2023-01-31,Product4,46,17,1,34.69926039,Category1,360
2023-01-31,Product5,96,30,12,34.46612642,Category2,117
2023-02-01,Product1,62,48,0,36.17065046,Category1,132
2023-02-01,Product2,41,38,0,10.03115063,Category2,151
2023-02-01,Product3,88,24,0,49.68846237,Category3,244
2023-02-01,Product4,55,17,9,34.69926039,Category1,360
2023-02-01,Product5,91,30,0,34.46612642,Category2,117
2023-02-02,Product1,60,48,0,34.46612642,Category1,132
2023-02-02,Product2,51,38,10,10.03115063,Category2,151
2023-02-02,Product3,91,24,3,49.68846237,Category3,244
2023-02-02,Product4,54,17,0,34.69926039,Category1,360
2023-02-02,Product5,87,30,0,34.46612642,Category2,117
2023-02-03,Product1,58,48,0,34.46612642,Category1,132
2023-02-03,Product2,49,38,0,10.03115063,Category2,151
2023-02-03,Product3,81,24,0,49.68846237,Category3,244
2023-02-03,Product4,47,17,0,34.69926039,Category1,360
2023-02-03,Product5,80,30,0,34.46612642,Category2,117
2023-02-04,Product1,55,48,0,34.46612642,Category1,132
2023-02-04,Product2,56,38,7,10.03115063,Category2,151
2023-02-04,Product3,84,24,3,49.68846237,Category3,244
2023-02-04,Product4,47,17,0,34.69926039,Category1,360
2023-02-04,Product5,90,30,10,34.46612642,Category2,117
2023-02-05,Product1,70,48,15,34.46612642,Category1,132
2023-02-05,Product2,42,38,0,10.03115063,Category2,151
2023-02-05,Product3,87,24,3,49.68846237,Category3,244
2023-02-05,Product4,49,17,2,34.69926039,Category1,360
2023-02-05,Product5,89,30,0,34.46612642,Category2,117
2023-02-06,Product1,59,48,0,34.46612642,Category1,132
2023-02-06,Product2,49,38,7,10.03115063,Category2,151
2023-02-06,Product3,90,24,3,49.68846237,Category3,244
2023-02-06,Product4,51,17,2,34.69926039,Category1,360
2023-02-06,Product5,97,30,8,34.46612642,Category2,117
2023-02-07,Product1,59,48,0,34.46612642,Category1,132
2023-02-07,Product2,50,38,1,10.03115063,Category2,151
2023-02-07,Product3,90,24,0,49.68846237,Category3,244
2023-02-07,Product4,54,17,3,34.69926039,Category1,360
2023-02-07,Product5,78,30,0,34.46612642,Category2,117
2023-02-08,Product1,67,48,8,34.46612642,Category1,132
2023-02-08,Product2,47,38,0,10.03115063,Category2,151
2023-02-08,Product3,89,24,0,49.68846237,Category3,244
2023-02-08,Product4,55,17,1,34.69926039,Category1,360
2023-02-08,Product5,85,30,7,34.46612642,Category2,117
2023-02-09,Product1,65,48,0,34.46612642,Category1,132
2023-02-09,Product2,46,38,0,10.03115063,Category2,151
2023-02-09,Product3,92,24,3,49.68846237,Category3,244
2023-02-09,Product4,46,17,0,34.69926039,Category1,360
2023-02-09,Product5,77,30,0,34.46612642,Category2,117
2023-02-10,Product1,59,48,0,34.46612642,Category1,132
2023-02-10,Product2,54,38,8,10.03115063,Category2,151
2023-02-10,Product3,89,24,0,49.68846237,Category3,244
2023-02-10,Product4,48,17,2,34.69926039,Category1,360
2023-02-10,Product5,85,30,8,34.46612642,Category2,117
2023-02-11,Product1,64,48,5,34.46612642,Category1,132
2023-02-11,Product2,42,38,0,10.03115063,Category2,151
2023-02-11,Product3,88,24,0,49.68846237,Category3,244
2023-02-11,Product4,53,17,5,34.69926039,Category1,360
2023-02-11,Product5,89,30,4,34.46612642,Category2,117
2023-02-12,Product1,74,48,10,34.46612642,Category1,132
2023-02-12,Product2,51,38,9,10.03115063,Category2,151
2023-02-12,Product3,83,24,0,49.68846237,Category3,244
2023-02-12,Product4,53,17,0,34.69926039,Category1,360
2023-02-12,Product5,85,30,0,34.46612642,Category2,117
2023-02-13,Product1,60,48,0,33.06734276,Category1,132
2023-02-13,Product2,53,38,2,10.03115063,Category2,151
2023-02-13,Product3,92,24,9,49.68846237,Category3,244
2023-02-13,Product4,49,17,0,34.69926039,Category1,360
2023-02-13,Product5,76,30,0,34.46612642,Category2,117
2023-02-14,Product1,62,48,2,34.46612642,Category1,132
2023-02-14,Product2,50,38,0,10.03115063,Category2,151
2023-02-14,Product3,88,24,0,49.68846237,Category3,244
2023-02-14,Product4,54,17,5,34.69926039,Category1,360
2023-02-14,Product5,102,30,26,34.46612642,Category2,117
2023-02-15,Product1,65,48,3,34.46612642,Category1,132
2023-02-15,Product2,52,38,2,10.03115063,Category2,151
2023-02-15,Product3,90,24,2,49.68846237,Category3,244
2023-02-15,Product4,57,17,3,34.69926039,Category1,360
2023-02-15,Product5,88,30,0,34.46612642,Category2,117
2023-02-16,Product1,69,48,4,34.46612642,Category1,132
2023-02-16,Product2,59,38,7,10.03115063,Category2,151
2023-02-16,Product3,92,24,2,49.68846237,Category3,244
2023-02-16,Product4,53,17,0,34.69926039,Category1,360
2023-02-16,Product5,91,30,3,34.46612642,Category2,117
2023-02-17,Product1,67,48,0,34.46612642,Category1,132
2023-02-17,Product2,46,38,0,10.03115063,Category2,151
2023-02-17,Product3,85,24,0,49.68846237,Category3,244
2023-02-17,Product4,48,17,0,34.69926039,Category1,360
2023-02-17,Product5,79,30,0,34.46612642,Category2,117
2023-02-18,Product1,66,48,0,34.46612642,Category1,132
2023-02-18,Product2,48,38,2,10.03115063,Category2,151
2023-02-18,Product3,83,24,0,49.68846237,Category3,244
2023-02-18,Product4,59,17,11,34.69926039,Category1,360
2023-02-18,Product5,80,30,1,34.46612642,Category2,117
2023-02-19,Product1,72,48,6,34.46612642,Category1,132
2023-02-19,Product2,60,38,12,10.03115063,Category2,151
2023-02-19,Product3,89,24,6,49.68846237,Category3,244
2023-02-19,Product4,53,17,0,34.69926039,Category1,360
2023-02-19,Product5,84,30,4,34.46612642,Category2,117
2023-02-20,Product1,66,48,0,34.46612642,Category1,132
2023-02-20,Product2,47,38,0,10.03115063,Category2,151
2023-02-20,Product3,78,24,0,49.68846237,Category3,244
2023-02-20,Product4,58,17,5,34.69926039,Category1,360
2023-02-20,Product5,94,30,10,34.46612642,Category2,117
2023-02-21,Product1,75,48,9,34.46612642,Category1,132
2023-02-21,Product2,48,38,1,10.03115063,Category2,151
2023-02-21,Product3,86,24,8,49.68846237,Category3,244
2023-02-21,Product4,56,17,0,34.69926039,Category1,360
2023-02-21,Product5,86,30,0,34.46612642,Category2,117
2023-02-22,Product1,59,48,0,34.46612642,Category1,132
2023-02-22,Product2,52,38,4,10.03115063,Category2,151
2023-02-22,Product3,84,24,0,49.68846237,Category3,244
2023-02-22,Product4,54,17,0,34.69926039,Category1,360
2023-02-22,Product5,87,30,1,34.46612642,Category2,117
2023-02-23,Product1,56,48,0,34.46612642,Category1,132
2023-02-23,Product2,42,38,0,10.03115063,Category2,151
2023-02-23,Product3,84,24,0,49.68846237,Category3,244
2023-02-23,Product4,52,17,0,34.69926039,Category1,360
2023-02-23,Product5,83,30,0,34.46612642,Category2,117
2023-02-24,Product1,67,48,11,34.46612642,Category1,132
2023-02-24,Product2,60,38,18,10.03115063,Category2,151
2023-02-24,Product3,94,24,10,49.68846237,Category3,244
2023-02-24,Product4,61,17,9,34.69926039,Category1,360
2023-02-24,Product5,82,30,0,34.46612642,Category2,117
2023-02-25,Product1,69,48,2,34.46612642,Category1,132
2023-02-25,Product2,59,38,0,10.03115063,Category2,151
2023-02-25,Product3,90,24,0,49.68846237,Category3,244
2023-02-25,Product4,51,17,0,34.69926039,Category1,360
2023-02-25,Product5,84,30,2,34.46612642,Category2,117
2023-02-26,Product1,67,48,0,34.46612642,Category1,132
2023-02-26,Product2,56,38,0,10.03115063,Category2,151
2023-02-26,Product3,93,24,3,49.68846237,Category3,244
2023-02-26,Product4,49,17,0,34.69926039,Category1,360
2023-02-26,Product5,84,30,0,34.46612642,Category2,117
2023-02-27,Product1,63,48,0,34.46612642,Category1,132
2023-02-27,Product2,56,38,0,10.03115063,Category2,151
2023-02-27,Product3,89,24,0,49.68846237,Category3,244
2023-02-27,Product4,48,17,0,34.69926039,Category1,360
2023-02-27,Product5,85,30,1,34.46612642,Category2,117
2023-02-28,Product1,70,48,7,34.46612642,Category1,132
2023-02-28,Product2,55,38,0,10.03115063,Category2,151
2023-02-28,Product3,87,24,0,49.68846237,Category3,244
2023-02-28,Product4,59,17,11,34.69926039,Category1,360
2023-02-28,Product5,90,30,5,34.46612642,Category2,117
2023-03-01,Product1,65,48,0,34.46612642,Category1,132
2023-03-01,Product2,47,38,0,10.03115063,Category2,151
2023-03-01,Product3,78,24,0,49.68846237,Category3,244
2023-03-01,Product4,47,17,0,34.69926039,Category1,360
2023-03-01,Product5,75,30,0,34.46612642,Category2,117
2023-03-02,Product1,78,48,13,34.46612642,Category1,132
2023-03-02,Product2,53,38,6,10.03115063,Category2,151
2023-03-02,Product3,90,24,12,49.68846237,Category3,244
2023-03-02,Product4,53,17,6,34.69926039,Category1,360
2023-03-02,Product5,77,30,2,34.46612642,Category2,117
2023-03-03,Product1,74,48,0,34.46612642,Category1,132
2023-03-03,Product2,47,38,0,10.03115063,Category2,151
2023-03-03,Product3,87,24,0,49.68846237,Category3,244
2023-03-03,Product4,37,17,0,34.69926039,Category1,360
2023-03-03,Product5,88,30,11,34.46612642,Category2,117
2023-03-04,Product1,61,48,0,35.92970749,Category1,132
2023-03-04,Product2,54,38,7,10.03115063,Category2,151
2023-03-04,Product3,87,24,0,49.68846237,Category3,244
2023-03-04,Product4,51,17,14,34.69926039,Category1,360
2023-03-04,Product5,79,30,0,34.46612642,Category2,117
2023-03-05,Product1,72,48,11,34.46612642,Category1,132
2023-03-05,Product2,48,38,0,10.03115063,Category2,151
2023-03-05,Product3,82,24,0,49.68846237,Category3,244
2023-03-05,Product4,57,17,6,34.69926039,Category1,360
2023-03-05,Product5,78,30,0,34.46612642,Category2,117
2023-03-06,Product1,70,48,0,34.46612642,Category1,132
2023-03-06,Product2,48,38,0,10.03115063,Category2,151
2023-03-06,Product3,82,24,0,49.68846237,Category3,244
2023-03-06,Product4,47,17,0,34.69926039,Category1,360
2023-03-06,Product5,75,30,0,34.46612642,Category2,117
2023-03-07,Product1,79,48,9,34.46612642,Category1,132
2023-03-07,Product2,48,38,0,10.03115063,Category2,151
2023-03-07,Product3,80,24,0,49.68846237,Category3,244
2023-03-07,Product4,48,17,1,34.69926039,Category1,360
2023-03-07,Product5,73,30,0,34.46612642,Category2,117
2023-03-08,Product1,80,48,1,34.46612642,Category1,132
2023-03-08,Product2,44,38,0,10.03115063,Category2,151
2023-03-08,Product3,86,24,6,49.68846237,Category3,244
2023-03-08,Product4,53,17,5,34.69926039,Category1,360
2023-03-08,Product5,85,30,12,34.46612642,Category2,117
2023-03-09,Product1,73,48,0,35.76433266,Category1,132
2023-03-09,Product2,46,38,2,10.03115063,Category2,151
2023-03-09,Product3,88,24,2,49.68846237,Category3,244
2023-03-09,Product4,57,17,4,34.69926039,Category1,360
2023-03-09,Product5,78,30,0,34.46612642,Category2,117
2023-03-10,Product1,74,48,1,34.46612642,Category1,132
2023-03-10,Product2,52,38,6,10.03115063,Category2,151
2023-03-10,Product3,83,24,0,49.68846237,Category3,244
2023-03-10,Product4,57,17,0,34.69926039,Category1,360
2023-03-10,Product5,81,30,3,34.46612642,Category2,117
2023-03-11,Product1,79,48,5,32.86973081,Category1,132
2023-03-11,Product2,53,38,1,10.03115063,Category2,151
2023-03-11,Product3,84,24,1,49.68846237,Category3,244
2023-03-11,Product4,58,17,1,34.69926039,Category1,360
2023-03-11,Product5,81,30,0,34.46612642,Category2,117
2023-03-12,Product1,74,48,0,34.46612642,Category1,132
2023-03-12,Product2,56,38,3,10.03115063,Category2,151
2023-03-12,Product3,83,24,0,49.68846237,Category3,244
2023-03-12,Product4,56,17,0,34.69926039,Category1,360
2023-03-12,Product5,76,30,0,34.46612642,Category2,117
2023-03-13,Product1,70,48,0,34.46612642,Category1,132
2023-03-13,Product2,48,38,0,10.03115063,Category2,151
2023-03-13,Product3,82,24,0,49.68846237,Category3,244
2023-03-13,Product4,51,17,0,34.69926039,Category1,360
2023-03-13,Product5,82,30,6,34.46612642,Category2,117
2023-03-14,Product1,74,48,4,34.46612642,Category1,132
2023-03-14,Product2,51,38,3,10.03115063,Category2,151
2023-03-14,Product3,83,24,1,49.68846237,Category3,244
2023-03-14,Product4,54,17,3,34.69926039,Category1,360
2023-03-14,Product5,76,30,0,34.46612642,Category2,117
2023-03-15,Product1,87,48,13,34.46612642,Category1,132
2023-03-15,Product2,56,38,5,10.03115063,Category2,151
2023-03-15,Product3,91,24,8,49.68846237,Category3,244
2023-03-15,Product4,51,17,0,34.69926039,Category1,360
2023-03-15,Product5,79,30,3,34.46612642,Category2,117
2023-03-16,Product1,82,48,0,34.46612642,Category1,132
2023-03-16,Product2,60,38,4,10.03115063,Category2,151
2023-03-16,Product3,86,24,0,49.68846237,Category3,244
2023-03-16,Product4,47,17,0,34.69926039,Category1,360
2023-03-16,Product5,68,30,0,34.46612642,Category2,117
2023-03-17,Product1,85,48,3,34.46612642,Category1,132
2023-03-17,Product2,55,38,0,10.03115063,Category2,151
2023-03-17,Product3,76,24,0,49.68846237,Category3,244
2023-03-17,Product4,54,17,7,34.69926039,Category1,360
2023-03-17,Product5,81,30,13,34.46612642,Category2,117
2023-03-18,Product1,81,48,0,34.46612642,Category1,132
2023-03-18,Product2,53,38,0,10.03115063,Category2,151
2023-03-18,Product3,77,24,1,49.68846237,Category3,244
2023-03-18,Product4,56,17,2,34.69926039,Category1,360
2023-03-18,Product5,80,30,0,34.46612642,Category2,117
2023-03-19,Product1,69,48,0,34.46612642,Category1,132
2023-03-19,Product2,43,38,0,10.03115063,Category2,151
2023-03-19,Product3,95,24,18,49.68846237,Category3,244
2023-03-19,Product4,41,17,0,34.69926039,Category1,360
2023-03-19,Product5,85,30,5,34.46612642,Category2,117
2023-03-20,Product1,71,48,2,34.46612642,Category1,132
2023-03-20,Product2,57,38,14,10.03115063,Category2,151
2023-03-20,Product3,89,24,0,49.68846237,Category3,244
2023-03-20,Product4,49,17,8,34.69926039,Category1,360
2023-03-20,Product5,79,30,0,34.46612642,Category2,117
2023-03-21,Product1,76,48,5,34.46612642,Category1,132
2023-03-21,Product2,57,38,0,10.03115063,Category2,151
2023-03-21,Product3,81,24,0,49.68846237,Category3,244
2023-03-21,Product4,43,17,0,34.69926039,Category1,360
2023-03-21,Product5,70,30,0,34.46612642,Category2,117
2023-03-22,Product1,77,48,1,34.46612642,Category1,132
2023-03-22,Product2,52,38,0,10.03115063,Category2,151
2023-03-22,Product3,88,24,7,49.68846237,Category3,244
2023-03-22,Product4,48,17,5,34.69926039,Category1,360
2023-03-22,Product5,75,30,5,34.46612642,Category2,117
2023-03-23,Product1,73,48,0,34.46612642,Category1,132
2023-03-23,Product2,55,38,3,10.03115063,Category2,151
2023-03-23,Product3,79,24,0,49.68846237,Category3,244
2023-03-23,Product4,50,17,2,34.69926039,Category1,360
2023-03-23,Product5,86,30,11,34.46612642,Category2,117
2023-03-24,Product1,75,48,2,35.73551767,Category1,132
2023-03-24,Product2,50,38,0,10.03115063,Category2,151
2023-03-24,Product3,84,24,5,49.68846237,Category3,244
2023-03-24,Product4,46,17,0,34.69926039,Category1,360
2023-03-24,Product5,76,30,0,34.46612642,Category2,117
2023-03-25,Product1,79,48,4,34.46612642,Category1,132
2023-03-25,Product2,59,38,9,10.03115063,Category2,151
2023-03-25,Product3,79,24,0,49.68846237,Category3,244
2023-03-25,Product4,59,17,13,34.69926039,Category1,360
2023-03-25,Product5,77,30,1,34.46612642,Category2,117
2023-03-26,Product1,80,48,1,34.46612642,Category1,132
2023-03-26,Product2,52,38,0,10.03115063,Category2,151
2023-03-26,Product3,81,24,2,49.68846237,Category3,244
2023-03-26,Product4,55,17,0,34.69926039,Category1,360
2023-03-26,Product5,71,30,0,34.46612642,Category2,117
2023-03-27,Product1,77,48,0,34.46612642,Category1,132
2023-03-27,Product2,57,38,5,10.03115063,Category2,151
2023-03-27,Product3,76,24,0,49.68846237,Category3,244
2023-03-27,Product4,42,17,0,34.69926039,Category1,360
2023-03-27,Product5,76,30,5,34.46612642,Category2,117
2023-03-28,Product1,77,48,0,34.46612642,Category1,132
2023-03-28,Product2,45,38,0,10.03115063,Category2,151
2023-03-28,Product3,81,24,5,49.68846237,Category3,244
2023-03-28,Product4,61,17,19,34.69926039,Category1,360
2023-03-28,Product5,82,30,6,34.46612642,Category2,117
2023-03-29,Product1,81,48,4,34.46612642,Category1,132
2023-03-29,Product2,64,38,19,10.03115063,Category2,151
2023-03-29,Product3,92,24,11,49.68846237,Category3,244
2023-03-29,Product4,43,17,0,34.69926039,Category1,360
2023-03-29,Product5,68,30,0,34.46612642,Category2,117
2023-03-30,Product1,80,48,0,34.46612642,Category1,132
2023-03-30,Product2,61,38,0,10.03115063,Category2,151
2023-03-30,Product3,71,24,0,49.68846237,Category3,244
2023-03-30,Product4,50,17,7,34.69926039,Category1,360
2023-03-30,Product5,71,30,3,34.46612642,Category2,117
2023-03-31,Product1,73,48,0,34.46612642,Category1,132
2023-03-31,Product2,61,38,0,10.03115063,Category2,151
2023-03-31,Product3,82,24,11,49.68846237,Category3,244
2023-03-31,Product4,60,17,10,34.69926039,Category1,360
2023-03-31,Product5,73,30,2,34.46612642,Category2,117
2023-04-01,Product1,82,48,9,34.46612642,Category1,132
2023-04-01,Product2,61,38,0,10.03115063,Category2,151
2023-04-01,Product3,87,24,5,49.68846237,Category3,244
2023-04-01,Product4,50,17,0,34.69926039,Category1,360
2023-04-01,Product5,69,30,0,34.46612642,Category2,117
2023-04-02,Product1,83,48,1,34.46612642,Category1,132
2023-04-02,Product2,66,38,5,10.03115063,Category2,151
2023-04-02,Product3,82,24,0,49.68846237,Category3,244
2023-04-02,Product4,50,17,0,34.69926039,Category1,360
2023-04-02,Product5,73,30,4,34.46612642,Category2,117
2023-04-03,Product1,84,48,1,34.46612642,Category1,132
2023-04-03,Product2,58,38,0,10.03115063,Category2,151
2023-04-03,Product3,72,24,0,49.68846237,Category3,244
2023-04-03,Product4,57,17,7,34.69926039,Category1,360
2023-04-03,Product5,83,30,10,34.46612642,Category2,117
2023-04-04,Product1,71,48,0,34.46612642,Category1,132
2023-04-04,Product2,61,38,3,10.03115063,Category2,151
2023-04-04,Product3,75,24,3,49.68846237,Category3,244
2023-04-04,Product4,63,17,6,34.69926039,Category1,360
2023-04-04,Product5,69,30,0,34.46612642,Category2,117
2023-04-05,Product1,80,48,9,34.46612642,Category1,132
2023-04-05,Product2,59,38,0,10.03115063,Category2,151
2023-04-05,Product3,77,24,2,49.68846237,Category3,244
2023-04-05,Product4,59,17,0,34.69926039,Category1,360
2023-04-05,Product5,69,30,0,34.46612642,Category2,117
2023-04-06,Product1,75,48,0,34.46612642,Category1,132
2023-04-06,Product2,61,38,2,10.03115063,Category2,151
2023-04-06,Product3,82,24,5,49.68846237,Category3,244
2023-04-06,Product4,55,17,0,34.69926039,Category1,360
2023-04-06,Product5,75,30,6,34.46612642,Category2,117
