Date,Inventory
2022-10-27,148
2022-10-28,99
2022-10-29,62
2022-10-30,109
2022-10-31,184
2022-11-01,106
2022-11-02,85
2022-11-03,69
2022-11-04,114
2022-11-05,57
2022-11-06,193
2022-11-07,191
2022-11-08,164
2022-11-09,192
2022-11-10,141
2022-11-11,147
2022-11-12,115
2022-11-13,81
2022-11-14,135
2022-11-15,100
2022-11-16,112
2022-11-17,174
2022-11-18,199
2022-11-19,107
2022-11-20,107
2022-11-21,135
2022-11-22,98
2022-11-23,119
2022-11-24,64
2022-11-25,103
2022-11-26,150
2022-11-27,57
2022-11-28,102
2022-11-29,109
2022-11-30,157
2022-12-01,54
2022-12-02,152
2022-12-03,55
2022-12-04,158
2022-12-05,165
2022-12-06,143
2022-12-07,96
2022-12-08,148
2022-12-09,104
2022-12-10,101
2022-12-11,193
2022-12-12,62
2022-12-13,163
2022-12-14,173
2022-12-15,155
2022-12-16,196
2022-12-17,194
2022-12-18,169
2022-12-19,112
2022-12-20,68
2022-12-21,141
2022-12-22,107
2022-12-23,139
2022-12-24,166
2022-12-25,111
2022-12-26,72
2022-12-27,176
2022-12-28,186
2022-12-29,189
2022-12-30,178
2022-12-31,107
